Index.Antwort,LLM_Vollständige_Antwort
49.2,Antwort 49.2: Verminderte Spannkraft der Muskeln und Gewichtszunahme
50.2,Antwort 50.2: Produktion von Adrenalin und Noradrenalin
51.1,Antwort 51.1: Insulin
52.3,Antwort 52.3: Hypophyse
53.1,Antwort 53.1: Führt oft zu Gewichtsverlust und Schlaflosigkeit
54.3,Antwort 54.3: Freisetzung von Adrenalin und Noradrenalin
55.2,Antwort 55.2: Erhöhter Blutzuckerspiegel
56.4,"Antwort 56.4: Kopfskelett, Rumpfskelett und Gliedmaßenskelett eingeteilt."
57.4,Antwort 57.4: Kompakte Knochen
58.2,Antwort 58.2: Geringe bis keine Beweglichkeit
59.1,Antwort 59.1: Knochennähte
60.3,Antwort 60.3: Bewegung
61.4,Antwort 61.4: Dehnbarkeit
62.2,Antwort 62.2: Kalzium
63.2,Antwort 63.2: Herzmuskulatur
64.3,Antwort 64.3: Durch stromlinienförmige Körper und Flossen
65.2,Antwort 65.2: Fische
66.1,Antwort 66.1: Kriechen oder Laufen auf vier Beinen
67.2,Antwort 67.2: Flügel und die Fähigkeit zu fliegen
68.4,Antwort 68.4: Schwimmen und Laufen
69.1,"Antwort 69.1: Diverse Gliedmaßenanpassungen für Laufen, Schwimmen oder Fliegen"
70.3,Antwort 70.3: Das Nervensystem reguliert die Hormonausschüttung des endokrinen Systems.
71.2,Antwort 71.2: Es verarbeitet und interpretiert die von den Sinnesorganen aufgenommenen Signale.
72.2,Antwort 72.2: Indem es die Sensibilität der Sinnesorgane durch Hormone moduliert.
73.2,Antwort 73.2: Es steuert die Muskelkontraktion und -entspannung.
74.4,Antwort 74.4: Es beeinflusst Muskelwachstum und -entwicklung durch Hormone.
75.1,Antwort 75.1: Häufiges Händewaschen
76.4,Antwort 76.4: Lang andauernder Stress
77.1,Antwort 77.1: Tröpfcheninfektion
78.3,Antwort 78.3: Lähmungserscheinungen
79.4,Antwort 79.4: Verwendung von Augentropfen ohne ärztliche Empfehlung
80.2,Antwort 80.2: Vermeidung von Wattestäbchen im Gehörgang
81.2,Antwort 81.2: Verwendung aggressiver Nasensprays ohne ärztliche Empfehlung
82.1,Antwort 82.1: Regelmäßiges Zungenbürsten oder -schaben
83.3,Antwort 83.3: Übermäßiges Sonnenbaden ohne Sonnenschutz
84.2,Antwort 84.2: Zweitgradige Verbrennung
85.1,"Antwort 85.1: Regelmäßige, angepasste körperliche Aktivität"
86.3,Antwort 86.3: Mikrotraumata in den Muskelfasern
87.2,Antwort 87.2: Kühlung und Hochlagern des betroffenen Bereichs
88.4,Antwort 88.4: Verrenkungen beinhalten die Verschiebung von Knochen aus ihrem Gelenk
89.1,Antwort 89.1: Unnatürliche Beweglichkeit oder Deformität
90.3,Antwort 90.3: Skoliose
91.2,Antwort 91.2: Kann durch Teile wie Stolonen oder Rhizome erfolgen
92.2,Antwort 92.2: Rhizom
93.2,Antwort 93.2: Fortpflanzung durch die Produktion von Samen
94.1,Antwort 94.1: Ausbreitung der Wurzel zur Wasseraufnahme
95.3,Antwort 95.3: Befruchtung und anschließende Fruchtbildung
96.1,Antwort 96.1: Entwicklung sekundärer Geschlechtsmerkmale
97.3,Antwort 97.3: Eierstöcke bei Frauen
98.2,Antwort 98.2: Ein reifes Ei wird aus dem Eierstock freigesetzt
99.2,Antwort 99.2: Einnistung des Embryos in der Gebärmutterschleimhaut
100.4,Antwort 100.4: Sterilisation
